Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Margaux (Grand Cru Classé) 2005,Château Lascombes,"Margaux, France",2005,4.4,1986,6754
Castillo Ygay Gran Reserva Especial Tinto 2004,Marqués de Murrieta,"Rioja, Spain",2004,4.4,1946,9979
Château Giscours (Grand Cru Classé) 2000,Château Giscours,"Margaux, France",2000,4.4,1893,3172
Saint-Julien (Grand Cru Classé) 2005,Château Léoville Barton,"Saint-Julien, France",2005,4.4,1889,4093
Las Alturas Vineyard Pinot Noir 2020,Belle Glos,"Santa Lucia Highlands, United States",2020,4.4,1846,2580
Pauillac (Grand Cru Classé) 2008,Château Pichon Baron,"Pauillac, France",2008,4.4,1792,4912
Pauillac (Grand Cru Classé) 1995,Château Lynch-Bages,"Pauillac, France",1995,4.4,1572,6140
Pauillac (Grand Cru Classé) 2005,Château Duhart-Milon,"Pauillac, France",2005,4.4,1554,4720
Saint-Estèphe (Grand Cru Classé) 2000,Château Montrose,"Saint-Estèphe, France",2000,4.4,1550,7408
Pessac-Léognan (Grand Cru Classé de Graves) 2006,Château Pape Clément,"Pessac-Léognan, France",2006,4.4,1533,7070
Vigneto Bellavista Chianti Classico 1986,Castello di Ama,"Chianti Classico, Italy",1986,4.4,1500,3684
Garnacha 2016,Alto Moncayo,"Campo de Borja, Spain",2016,4.4,1340,1330
Saint-Julien (Grand Cru Classé) 2004,Château Léoville Las Cases,"Saint-Julien, France",2004,4.4,1294,7104
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,Château Troplong Mondot,"Saint-Émilion Grand Cru, France",2012,4.4,1292,4150
Saint-Estèphe (Grand Cru Classé) 1995,Château Montrose,"Saint-Estèphe, France",1995,4.4,1248,6292
Pavillon Rouge du Château Margaux 2005,Château Margaux,"Margaux, France",2005,4.4,1231,6549
Charmes-Chambertin Grand Cru 1997,Géantet-Pansiot,"Charmes-Chambertin Grand Cru, France",1997,4.4,1209,6140
Saint-Julien (Grand Cru Classé) 1989,Château Gruaud Larose,"Saint-Julien, France",1989,4.4,1178,4912
Cos d'Estournel 1999,Cos d'Estournel,"Saint-Estèphe, France",1999,4.4,1114,5480
Bandol Cuvée Cabassaou 1990,Domaine Tempier,"Bandol, France",1990,4.4,1109,6140
Saint-Julien (Grand Cru Classé) 1996,Château Léoville Poyferré,"Saint-Julien, France",1996,4.4,1094,5116
Aconcagua Valley 2014,Sena,"Aconcagua Valley, Chile",2014,4.4,1092,5000
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2004,Château Figeac,"Saint-Émilion Grand Cru, France",2004,4.4,1088,8119
Saint-Julien (Grand Cru Classé) 2000,Château Beychevelle,"Saint-Julien, France",2000,4.4,1074,4502
Hermitage La Chapelle Rouge 1998,Domaine de La Chapelle,"Hermitage, France",1998,4.4,1008,4298
Cabernet Sauvignon 2021,Caymus Vineyards,"Napa Valley, United States",2021,4.4,1000,3350
Châteauneuf-du-Pape Vieilles Vignes 1994,Domaine de Marcoux,"Châteauneuf-du-Pape, France",1994,4.4,985,5920
Cos d'Estournel 2014,Cos d'Estournel,"Saint-Estèphe, France",2014,4.4,981,5370
Premium Pinot Noir 2021,Bass Phillip,"Gippsland, Australia",2021,4.4,975,6900
Aconcagua Valley 2017,Sena,"Aconcagua Valley, Chile",2017,4.4,975,4400
Pessac-Léognan (Grand Cru Classé de Graves) 2018,Château Pape Clément,"Pessac-Léognan, France",2018,4.4,952,3600
Cos d'Estournel 1994,Cos d'Estournel,"Saint-Estèphe, France",1994,4.4,951,5683
Châteauneuf-du-Pape 2019,Château de Beaucastel,"Châteauneuf-du-Pape, France",2019,4.4,926,3200
Corton-Bressandes Grand Cru 2019,Domaine Jacques Prieur,"Corton Grand Cru, France",2019,4.4,917,7100
Montes Alpha M Red 2006,Montes,"Colchagua Valley, Chile",2006,4.4,898,3200
Dagromis Barolo 2018,Gaja,"Barolo, Italy",2018,4.4,888,4380
Roda I Reserva Rioja 2005,Bodegas Roda,"Rioja, Spain",2005,4.4,870,2650
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2000,Château Troplong Mondot,"Saint-Émilion Grand Cru, France",2000,4.4,851,8180
Finca Dofí 2016,Álvaro Palacios,"Priorat, Spain",2016,4.4,817,4122
St. Henri Shiraz 2018,Penfolds,"South Australia, Australia",2018,4.4,808,3500
Pomerol 2006,Château La Conseillante,"Pomerol, France",2006,4.4,760,5116
Pauillac (Grand Cru Classé) 1999,Château Pichon Longueville Comtesse de Lalande,"Pauillac, France",1999,4.4,743,6549
Saint-Julien (Grand Cru Classé) 2016,Château Léoville Poyferré,"Saint-Julien, France",2016,4.4,742,4390
Altaïr 2004,San Pedro,"Cachapoal Valley, Chile",2004,4.4,731,4410
